strain,stress,material
0.00399,38.04527,Aluminum
0.004,38.27347,Aluminum
0.00401,38.38776,Aluminum
0.00403,38.50244,Aluminum
0.00405,38.61712,Aluminum
0.00406,38.84534,Aluminum
0.00407,38.95964,Aluminum
0.00409,39.07433,Aluminum
0.0041,39.30256,Aluminum
0.00412,39.41727,Aluminum
0.00413,39.53159,Aluminum
0.00415,39.76023,Aluminum
0.00416,39.87455,Aluminum
0.00418,39.98927,Aluminum
0.00419,40.21753,Aluminum
0.00421,40.33227,Aluminum
0.00422,40.56054,Aluminum
0.00424,40.67528,Aluminum
0.00425,40.78962,Aluminum
0.00427,41.01832,Aluminum
0.00428,41.13266,Aluminum
0.0043,41.24743,Aluminum
0.00431,41.47573,Aluminum
0.00433,41.5905,Aluminum
0.00434,41.70486,Aluminum
0.00436,41.93359,Aluminum
0.00437,42.04796,Aluminum
0.00439,42.2767,Aluminum
0.0044,42.39108,Aluminum
0.00442,42.50588,Aluminum
0.00443,42.73422,Aluminum
0.00445,42.84903,Aluminum
0.00446,43.07738,Aluminum
0.00448,43.1922,Aluminum
0.0045,43.30703,Aluminum
0.00451,43.53539,Aluminum
0.00453,43.65023,Aluminum
0.00454,43.8786,Aluminum
0.00456,43.99345,Aluminum
0.00457,44.10786,Aluminum
0.00459,44.33669,Aluminum
0.00461,44.45155,Aluminum
0.00462,44.56597,Aluminum
0.00463,44.79438,Aluminum
0.00465,44.90925,Aluminum
0.00467,45.02413,Aluminum
0.00468,45.25255,Aluminum
0.0047,45.36744,Aluminum
0.00471,45.48188,Aluminum
0.00473,45.71077,Aluminum
0.00474,45.82522,Aluminum
0.00475,45.93967,Aluminum
0.00477,46.16858,Aluminum
0.00478,46.28304,Aluminum
0.0048,46.39796,Aluminum
0.00481,46.62642,Aluminum
0.00483,46.74135,Aluminum
0.00485,46.85629,Aluminum
0.00486,47.08477,Aluminum
0.00487,47.19924,Aluminum
0.00489,47.31419,Aluminum
0.00491,47.54316,Aluminum
0.00492,47.65765,Aluminum
0.00494,47.77261,Aluminum
0.00495,47.8871,Aluminum
0.00497,48.1161,Aluminum
0.00499,48.23107,Aluminum
0.00501,48.34606,Aluminum
0.00503,48.46105,Aluminum
0.00505,48.69007,Aluminum
0.00507,48.80507,Aluminum
0.0051,48.92056,Aluminum
0.00513,49.03605,Aluminum
0.00516,49.15156,Aluminum
0.00519,49.26707,Aluminum
0.00522,49.38259,Aluminum
0.00526,49.4986,Aluminum
0.00531,49.61512,Aluminum
0.00535,49.73116,Aluminum
0.00539,49.73314,Aluminum
0.00545,49.85018,Aluminum
0.00549,49.96674,Aluminum
0.00554,50.08331,Aluminum
0.0056,50.0863,Aluminum
0.00566,50.20338,Aluminum
0.00573,50.32099,Aluminum
0.0058,50.32449,Aluminum
0.00586,50.44161,Aluminum
0.00594,50.44562,Aluminum
0.00601,50.56327,Aluminum
0.00608,50.56679,Aluminum
0.00616,50.68497,Aluminum
0.00624,50.689,Aluminum
0.00632,50.8072,Aluminum
0.0064,50.81124,Aluminum
0.00648,50.92947,Aluminum
0.00656,50.93352,Aluminum
0.00665,50.93807,Aluminum
0.00674,51.05685,Aluminum
0.00682,51.0609,Aluminum
0.00692,51.06597,Aluminum
0.00701,51.18479,Aluminum
0.00709,51.18936,Aluminum
0.00719,51.19445,Aluminum
0.00729,51.31381,Aluminum
0.00738,51.3184,Aluminum
0.00749,51.324,Aluminum
0.00759,51.44342,Aluminum
0.00769,51.44852,Aluminum
0.00779,51.45363,Aluminum
0.00789,51.45873,Aluminum
0.008,51.57871,Aluminum
0.00811,51.58434,Aluminum
0.00821,51.58946,Aluminum
0.00831,51.70898,Aluminum
0.00841,51.71462,Aluminum
0.00851,51.71974,Aluminum
0.00862,51.72539,Aluminum
0.00872,51.84496,Aluminum
0.00883,51.85062,Aluminum
0.00893,51.85575,Aluminum
0.00904,51.86141,Aluminum
0.00914,51.98104,Aluminum
0.00925,51.98671,Aluminum
0.00935,51.99186,Aluminum
0.00945,51.99701,Aluminum
0.00955,52.11722,Aluminum
0.00965,52.12238,Aluminum
0.00976,52.12806,Aluminum
0.00986,52.13322,Aluminum
0.00996,52.25297,Aluminum
0.01006,52.25815,Aluminum
0.01016,52.26332,Aluminum
0.01026,52.2685,Aluminum
0.01037,52.38882,Aluminum
0.01047,52.39401,Aluminum
0.01056,52.39919,Aluminum
0.01066,52.40438,Aluminum
0.01077,52.52476,Aluminum
0.01087,52.52996,Aluminum
0.01098,52.53568,Aluminum
0.01108,52.54087,Aluminum
0.01119,52.66132,Aluminum
0.0113,52.66705,Aluminum
0.01139,52.67225,Aluminum
0.01149,52.67746,Aluminum
0.0116,52.79797,Aluminum
0.01171,52.80371,Aluminum
0.01181,52.80893,Aluminum
0.01192,52.81467,Aluminum
0.01203,52.93524,Aluminum
0.01213,52.94047,Aluminum
0.01223,52.94622,Aluminum
0.01234,52.95197,Aluminum
0.01245,53.0726,Aluminum
0.01256,53.07837,Aluminum
0.01266,53.08361,Aluminum
0.01277,53.08937,Aluminum
0.01288,53.21007,Aluminum
0.01299,53.21584,Aluminum
0.01309,53.22162,Aluminum
0.0132,53.2274,Aluminum
0.01331,53.34815,Aluminum
0.01341,53.35342,Aluminum
0.01352,53.35921,Aluminum
0.01362,53.47948,Aluminum
0.01374,53.48581,Aluminum
0.01383,53.49109,Aluminum
0.01394,53.49689,Aluminum
0.01404,53.61723,Aluminum
0.01415,53.62304,Aluminum
0.01426,53.62886,Aluminum
0.01436,53.63414,Aluminum
0.01446,53.75507,Aluminum
0.01456,53.76036,Aluminum
0.01467,53.76619,Aluminum
0.01477,53.77149,Aluminum
0.01487,53.89194,Aluminum
0.01498,53.89778,Aluminum
0.01508,53.90309,Aluminum
0.01517,53.9084,Aluminum
0.01527,54.02891,Aluminum
0.01538,54.03477,Aluminum
0.01548,54.04009,Aluminum
0.01558,54.04541,Aluminum
0.01569,54.16651,Aluminum
0.01578,54.17184,Aluminum
0.01588,54.17717,Aluminum
0.01599,54.29832,Aluminum
0.01608,54.30313,Aluminum
0.01618,54.30848,Aluminum
0.01629,54.31435,Aluminum
0.01639,54.43503,Aluminum
0.01649,54.44092,Aluminum
0.01659,54.44627,Aluminum
0.0167,54.45216,Aluminum
0.0168,54.57289,Aluminum
0.01695,54.81173,Aluminum
0.01715,54.93846,Aluminum
0.01743,54.95358,Aluminum
0.01777,54.97249,Aluminum
0.01815,54.99355,Aluminum
0.0186,55.01785,Aluminum
0.01903,55.15724,Aluminum
0.01951,55.18376,Aluminum
0.02,55.32657,Aluminum
0.02059,55.47492,Aluminum
0.02108,55.61796,Aluminum
0.02157,55.76112,Aluminum
0.02205,55.90439,Aluminum
0.02254,56.04777,Aluminum
0.02293,56.18578,Aluminum
0.02342,56.32938,Aluminum
0.02381,56.46758,Aluminum
0.0243,56.61139,Aluminum
0.02469,56.74978,Aluminum
0.02508,56.88826,Aluminum
0.02547,57.02684,Aluminum
0.02586,57.1655,Aluminum
0.02625,57.30425,Aluminum
0.02664,57.4431,Aluminum
0.02713,57.58764,Aluminum
0.02752,57.72668,Aluminum
0.028,57.87143,Aluminum
0.02849,58.0163,Aluminum
0.02898,58.16129,Aluminum
0.02946,58.30638,Aluminum
0.03004,58.45727,Aluminum
0.03053,58.48563,Aluminum
0.03101,58.63102,Aluminum
0.0315,58.77653,Aluminum
0.03189,58.91644,Aluminum
0.03237,59.06216,Aluminum
0.03285,59.20799,Aluminum
0.03324,59.3482,Aluminum
0.03363,59.4885,Aluminum
0.03411,59.63465,Aluminum
0.0345,59.77514,Aluminum
0.03488,59.91572,Aluminum
0.03527,59.93886,Aluminum
0.03566,60.07958,Aluminum
0.03604,60.22039,Aluminum
0.03652,60.36711,Aluminum
0.03691,60.39039,Aluminum
0.0373,60.53144,Aluminum
0.03768,60.67257,Aluminum
0.03816,60.81966,Aluminum
0.03864,60.96685,Aluminum
0.03912,61.11416,Aluminum
0.03961,61.14354,Aluminum
0.04009,61.29102,Aluminum
0.04066,61.44452,Aluminum
0.04114,61.59223,Aluminum
0.04172,61.6277,Aluminum
0.0422,61.7756,Aluminum
0.04277,61.92954,Aluminum
0.04325,61.95921,Aluminum
0.04373,62.10741,Aluminum
0.0443,62.26167,Aluminum
0.04478,62.29145,Aluminum
0.04516,62.43397,Aluminum
0.04564,62.58256,Aluminum
0.04602,62.72528,Aluminum
0.0465,62.75523,Aluminum
0.04679,62.89209,Aluminum
0.04717,63.03503,Aluminum
0.04755,63.17806,Aluminum
0.04784,63.19613,Aluminum
0.04822,63.33929,Aluminum
0.0485,63.47649,Aluminum
0.04889,63.50068,Aluminum
0.04917,63.51882,Aluminum
0.04946,63.65617,Aluminum
0.04984,63.79965,Aluminum
0.05012,63.81786,Aluminum
0.0505,63.96147,Aluminum
0.05088,63.9858,Aluminum
0.05136,64.13564,Aluminum
0.05183,64.1661,Aluminum
0.0524,64.32221,Aluminum
0.05307,64.48458,Aluminum
0.05373,64.52738,Aluminum
0.0543,64.68386,Aluminum
0.05506,64.85275,Aluminum
0.05572,64.89571,Aluminum
0.05629,65.05256,Aluminum
0.05704,65.22187,Aluminum
0.0577,65.26499,Aluminum
0.05836,65.42839,Aluminum
0.05902,65.47159,Aluminum
0.05968,65.63523,Aluminum
0.06034,65.67851,Aluminum
0.061,65.72179,Aluminum
0.06157,65.87955,Aluminum
0.06222,65.92291,Aluminum
0.06279,65.96008,Aluminum
0.06326,66.11192,Aluminum
0.06382,66.14915,Aluminum
0.06429,66.18018,Aluminum
0.06476,66.33226,Aluminum
0.06513,66.47822,Aluminum
0.06541,66.61803,Aluminum
0.0656,66.63051,Aluminum
0.06579,66.64299,Aluminum
0.06597,66.65547,Aluminum
0.06607,66.66171,Aluminum
0.06616,66.66795,Aluminum
0.06626,66.91664,Aluminum
0.06644,67.29291,Aluminum
0.06663,67.54804,Aluminum
0.06672,67.43308,Aluminum
0.06682,66.83292,Aluminum
0.06691,67.08178,Aluminum
0.067,67.08806,Aluminum
0.0671,67.21566,Aluminum
0.06719,67.22194,Aluminum
0.06738,67.35588,Aluminum
0.06766,67.37477,Aluminum
0.06813,67.5277,Aluminum
0.06859,67.55924,Aluminum
0.06925,67.72499,Aluminum
0.06999,67.77554,Aluminum
0.07064,67.94154,Aluminum
0.07139,67.99218,Aluminum
0.07213,68.04283,Aluminum
0.07297,68.22185,Aluminum
0.07372,68.27258,Aluminum
0.07446,68.44555,Aluminum
0.0752,68.49637,Aluminum
0.07603,68.55355,Aluminum
0.07678,68.72689,Aluminum
0.07761,68.78417,Aluminum
0.07835,68.83509,Aluminum
0.07918,68.89237,Aluminum
0.07992,69.06619,Aluminum
0.08075,69.12357,Aluminum
0.08149,69.17458,Aluminum
0.08232,69.35515,Aluminum
0.08305,69.40625,Aluminum
0.08388,69.58712,Aluminum
0.08462,69.63831,Aluminum
0.08535,69.81307,Aluminum
0.08609,69.86435,Aluminum
0.08673,69.90922,Aluminum
0.08737,69.95409,Aluminum
0.08774,70.10359,Aluminum
0.0881,70.12927,Aluminum
0.08829,70.14212,Aluminum
0.08838,70.14854,Aluminum
0.08856,70.28534,Aluminum
0.08865,70.29177,Aluminum
0.08874,70.42219,Aluminum
0.08883,70.42863,Aluminum
0.08893,70.55908,Aluminum
0.08902,70.68956,Aluminum
0.08911,70.69602,Aluminum
0.08911,70.69602,Aluminum
0.0892,70.82653,Aluminum
0.08929,70.95706,Aluminum
0.08938,71.33573,Aluminum
0.08957,71.59695,Aluminum
0.08966,71.72759,Aluminum
0.08984,71.86483,Aluminum
0.08984,70.87188,Aluminum
0.08993,70.63009,Aluminum
0.08993,70.75422,Aluminum
0.09002,70.76069,Aluminum
0.09011,70.76716,Aluminum
0.09011,70.89131,Aluminum
0.09021,70.89779,Aluminum
0.0903,70.90427,Aluminum
0.09057,71.04791,Aluminum
0.09085,71.06738,Aluminum
0.0913,71.09983,Aluminum
0.09176,71.13228,Aluminum
0.0924,71.30214,Aluminum
0.09303,71.34765,Aluminum
0.09376,71.39965,Aluminum
0.09449,71.45166,Aluminum
0.09531,71.63497,Aluminum
0.09595,71.68056,Aluminum
0.09676,71.73917,Aluminum
0.09758,71.92286,Aluminum
0.09831,71.97505,Aluminum
0.09912,72.03376,Aluminum
0.09985,72.08595,Aluminum
0.10066,72.27013,Aluminum
0.10147,72.32895,Aluminum
0.1022,72.38123,Aluminum
0.10301,72.44004,Aluminum
0.10382,72.49886,Aluminum
0.10463,72.55767,Aluminum
0.10535,72.73601,Aluminum
0.10616,72.79493,Aluminum
0.10697,72.85384,Aluminum
0.10778,72.91276,Aluminum
0.1085,73.09159,Aluminum
0.1093,73.1506,Aluminum
0.11011,73.20962,Aluminum
0.11083,73.26208,Aluminum
0.11163,73.44796,Aluminum
0.11244,73.50708,Aluminum
0.11324,73.5662,Aluminum
0.11404,73.62532,Aluminum
0.11485,73.8117,Aluminum
0.11556,73.86434,Aluminum
0.11636,73.92357,Aluminum
0.11716,73.98279,Aluminum
0.11787,74.16308,Aluminum
0.11849,74.20922,Aluminum
0.11912,74.25536,Aluminum
0.11956,74.28832,Aluminum
0.12,74.32128,Aluminum
0.12027,74.46901,Aluminum
0.12053,74.48882,Aluminum
0.12071,74.50203,Aluminum
0.12089,74.51523,Aluminum
0.12098,74.52183,Aluminum
0.12107,74.65649,Aluminum
