strain,stress
0.15982,78.27208
0.16067,78.3388
0.16135,78.39216
0.1622,78.45888
0.16297,78.51892
0.16373,78.57896
0.1645,78.639
0.16526,78.69904
0.16602,78.75908
0.16678,78.81912
0.16755,78.87916
0.16839,78.94587
0.16915,79.00591
0.16991,79.06595
0.17075,79.13266
0.17151,79.1927
0.17236,79.12461
0.17311,79.04965
0.17395,79.11614
0.17471,79.04086
0.17546,79.1006
0.1763,79.03164
0.17714,78.96245
0.1779,78.88644
0.17873,78.95247
0.17957,78.88273
0.18032,78.80618
0.18115,78.736
0.1819,78.52294
0.18315,78.48488
0.18399,78.41386
0.18482,78.20612
0.18565,77.99793
0.18648,77.926
0.18731,77.71702
0.18814,77.50759
0.18897,77.16064
0.18979,76.95018
